-0.729 1.374 88.445
-0.730 1.263 88.541
-0.757 1.318 88.480
-0.729 1.290 88.518
-0.730 1.348 88.467
-0.729 1.290 88.518
-0.730 1.292 88.516
-0.729 1.290 88.518
-0.758 1.347 88.454
-0.757 1.318 88.479
-0.758 1.319 88.479
-0.730 1.347 88.468
-0.702 1.320 88.504
-0.758 1.320 88.477
-0.729 1.262 88.542
-0.786 1.375 88.416
-0.730 1.264 88.541
-0.729 1.346 88.469
-0.702 1.320 88.504
-0.673 1.346 88.495
-0.755 1.287 88.508
-0.729 1.262 88.542
-0.730 1.292 88.516
-0.729 1.346 88.469
-0.730 1.291 88.517
-0.758 1.319 88.479
-0.786 1.347 88.440
-0.757 1.346 88.455
-0.701 1.318 88.507
-0.702 1.291 88.531
-0.730 1.292 88.516
-0.757 1.346 88.455
-0.730 1.291 88.517
-0.758 1.291 88.503
-0.730 1.292 88.516
-0.758 1.292 88.502
-0.730 1.291 88.517
-0.730 1.319 88.493
1.200 -5.823 84.053
-4.248 -5.555 82.999
0.595 -12.599 77.387
4.417 -6.249 82.337
28.106 17.933 55.750
-5.889 1.375 83.952
-4.951 -0.691 85.000
-4.630 1.447 85.148
-2.033 1.288 87.593
-3.953 1.891 85.617
-3.540 2.527 85.649
-3.950 1.201 85.871
-4.632 3.622 84.115
-3.150 5.217 83.902
-9.217 1.664 80.631
28.515 40.280 -36.518
18.051 46.503 37.925
2.587 -56.239 33.635
3.775 -82.727 -6.208
-0.184 -15.221 74.778
18.333 63.172 -18.885
8.743 81.056 -1.868
3.506 -79.842 9.521
-3.665 -74.034 -15.517
-26.821 -3.322 62.941
-31.690 11.513 55.809
25.384 -8.704 62.960
50.903 -3.023 38.934
57.727 -18.477 25.451
61.347 -15.409 23.525
72.116 -9.043 -15.297
55.483 -0.377 -34.515
62.416 -13.017 -23.864
62.889 -23.101 13.404
35.715 -16.723 49.397
2.507 -5.844 83.637
-10.504 -0.929 79.454
-19.284 -7.368 69.251
-39.262 7.093 49.849
-51.838 5.430 37.632
-52.711 3.541 37.062
-59.151 5.599 30.226
